persona_id,first_name,age_group,race_ethnicity,gender,county,region,urban_suburban_rural,education,income_band,party_lean,ideology,past_vote_pattern,turnout_likelihood,top_issues,human_profile,persona_weight
P063,Eric,45-64,White non-Hispanic,Male,Barry County,Rural / outstate,rural/small-town,High school or less,Middle,Strong Republican,Very conservative,Consistent Republican voter,High,Labor / unions; Health care; Education,"Eric is a mid-career white non-Hispanic male in Barry County who works as a bookkeeper. Eric works long shifts and follows politics unevenly and thinks most about labor / unions, health care. Politically, Eric usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a high likelihood of voting in a high-profile Senate race.",1.000000
P064,Ryan,45-64,White non-Hispanic,Male,Kent County,West Michigan,mixed,Postgraduate,Upper-middle,Lean Democrat,Liberal,Occasional split-ticket Democrat,High,Education; Environment / water; Immigration,"Ryan is a mid-career white non-hispanic male in Kent County who works as a medical assistant supervisor. Ryan owns a modest home and thinks most about education, environment / water. Politically, Ryan usually leans Democratic but wants candidates to sound practical and grounded, with a high likelihood of voting in a high-profile Senate race.",1.000000
P065,Monica,45-64,Hispanic,Female,Genesee County,Flint / Saginaw / Bay,mixed,High school or less,Lower-middle,Independent / swing,Moderate,Split-ticket voter,Medium,Abortion; Economy / cost of living; Democracy / rule of law,"Monica is a mid-career hispanic female in Genesee County who works as a community college student. Monica helps care for an elderly parent and thinks most about abortion, economy / cost of living. Politically, Monica does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P066,Lisa,18-29,White non-Hispanic,Female,Ingham County,Lansing / Ingham,urban/suburban,Some college,Lower-middle,Independent / swing,Moderate,Suburban moderate,Low,Education; Economy / cost of living; Democracy / rule of law,"Lisa is a younger white non-Hispanic female in Ingham County who works as a child care center director. Lisa rents an apartment and is saving for a house and thinks most about education, economy / cost of living. Politically, Lisa does not like either party having too much power and has split tickets before, with a low likelihood of voting in a high-profile Senate race.",1.000000
P067,Michael,45-64,Black,Male,Kent County,West Michigan,mixed,High school or less,Lower-middle,Strong Democrat,Progressive,Consistent Democratic voter,High,Economy / cost of living; Abortion; Environment / water,"Michael is a mid-career black male in Kent County who works as a logistics manager. Michael helps care for an elderly parent and thinks most about economy / cost of living, abortion. Politically, Michael usually votes Democratic and sees national politics as personal to daily life, with a high likelihood of voting in a high-profile Senate race.",1.000000
P068,Danielle,30-44,Black,Female,Oakland County,Detroit suburbs,suburban,College degree,Upper-middle,Lean Democrat,Liberal,Usually Democratic voter,High,Democracy / rule of law; Abortion; Economy / cost of living,"Danielle is a middle-aged black female in Oakland County who works as an insurance analyst. Danielle owns a modest home and thinks most about democracy / rule of law, abortion. Politically, Danielle usually leans Democratic but wants candidates to sound practical and grounded, with a high likelihood of voting in a high-profile Senate race.",1.000000
P069,Jose,45-64,White non-Hispanic,Male,Wayne County,Detroit / Wayne,urban,College degree,Upper-middle,Lean Democrat,Liberal,Occasional split-ticket Democrat,Medium,Foreign policy / Israel-Gaza; Social Security / Medicare; Immigration,"Jose is a mid-career white non-Hispanic male in Wayne County who works as a hospital billing coordinator. Jose works long shifts and follows politics unevenly and thinks most about foreign policy / israel-gaza, social security / medicare. Politically, Jose usually leans Democratic but wants candidates to sound practical and grounded, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P070,Marcus,65+,Multiracial / other,Male,Oakland County,Detroit suburbs,suburban,College degree,Upper-middle,Independent / swing,Moderate,Obama-Trump voter,High,Social Security / Medicare; Crime / public safety; Economy / cost of living,"Marcus is an older multiracial / other male in Oakland County who works as an insurance analyst. Marcus volunteers through church and thinks most about social security / medicare, crime / public safety. Politically, Marcus does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
P071,Karen,45-64,White non-Hispanic,Female,Oakland County,Detroit suburbs,suburban,High school or less,Middle,Independent / swing,Moderate,Suburban moderate,High,Crime / public safety; Economy / cost of living; Labor / unions,"Karen is a mid-career white non-Hispanic female in Oakland County who works as a software project manager. Karen volunteers through church and thinks most about crime / public safety, economy / cost of living. Politically, Karen does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
P072,Alicia,65+,White non-Hispanic,Female,Oakland County,Detroit suburbs,suburban,College degree,Middle,Strong Republican,Very conservative,High-propensity Republican voter,High,Economy / cost of living; Health care; Crime / public safety,"Alicia is a older white non-hispanic female in Oakland County who works as a retired farm equipment mechanic. Alicia is recently retired and thinks most about economy / cost of living, health care. Politically, Alicia usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a high likelihood of voting in a high-profile Senate race.",1.000000
P073,Andre,18-29,Black,Male,Oakland County,Detroit suburbs,suburban,High school or less,Lower-middle,Strong Democrat,Progressive,High-propensity Democratic voter,Medium,Education; Abortion; Labor / unions,"Andre is a younger black male in Oakland County who works as a realtor. Andre works long shifts and follows politics unevenly and thinks most about education, abortion. Politically, Andre usually votes Democratic and sees national politics as personal to daily life, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P074,Denise,45-64,White non-Hispanic,Female,Calhoun County,Rural / outstate,rural/small-town,High school or less,Middle,Strong Republican,Very conservative,High-propensity Republican voter,High,Abortion; Labor / unions; Health care,"Denise is a mid-career white non-Hispanic female in Calhoun County who works as a farm equipment mechanic. Denise helps care for an elderly parent and thinks most about abortion, labor / unions. Politically, Denise usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a high likelihood of voting in a high-profile Senate race.",1.000000
P075,Angela,18-29,White non-Hispanic,Female,Kent County,West Michigan,mixed,Some college,Lower-middle,Lean Republican,Moderate,Trump-to-Democrat persuadable voter,Low,Economy / cost of living; Education; Foreign policy / Israel-Gaza,"Angela is a younger white non-hispanic female in Kent County who works as a postal carrier. Angela is paying off student loans and thinks most about economy / cost of living, education. Politically, Angela usually leans Republican but will consider a Democrat who seems focused on Michigan, with a low likelihood of voting in a high-profile Senate race.",1.000000
P076,Angela,30-44,White non-Hispanic,Female,Wayne County,Detroit / Wayne,urban,High school or less,Low,Strong Democrat,Liberal,High-propensity Democratic voter,Medium,Immigration; Education; Abortion,"Angela is a middle-aged white non-Hispanic female in Wayne County who works as a city bus mechanic. Angela has family split across both parties and thinks most about immigration, education. Politically, Angela usually votes Democratic and sees national politics as personal to daily life, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P077,Michael,45-64,White non-Hispanic,Male,Hillsdale County,Rural / outstate,rural/small-town,Some college,Middle,Strong Republican,Conservative,Consistent Republican voter,Medium,Environment / water; Health care; Democracy / rule of law,"Michael is a mid-career white non-Hispanic male in Hillsdale County who works as a bookkeeper. Michael helps care for an elderly parent and thinks most about environment / water, health care. Politically, Michael usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P078,Marcus,30-44,White non-Hispanic,Male,Hillsdale County,Rural / outstate,rural/small-town,Some college,Middle,Strong Republican,Very conservative,Consistent Republican voter,Medium,Environment / water; Abortion; Economy / cost of living,"Marcus is a middle-aged white non-Hispanic male in Hillsdale County who works as a bookkeeper. Marcus has family split across both parties and thinks most about environment / water, abortion. Politically, Marcus usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P079,Marcus,45-64,White non-Hispanic,Male,Macomb County,Detroit suburbs,suburban,College degree,Upper-middle,Lean Republican,Conservative,Trump-to-Democrat persuadable voter,High,Health care; Economy / cost of living; Crime / public safety,"Marcus is a mid-career white non-Hispanic male in Macomb County who works as an insurance analyst. Marcus helps care for an elderly parent and thinks most about health care, economy / cost of living. Politically, Marcus usually leans Republican but will consider a Democrat who seems focused on Michigan, with a high likelihood of voting in a high-profile Senate race.",1.000000
P080,Patrick,65+,White non-Hispanic,Male,Ingham County,Lansing / Ingham,urban/suburban,High school or less,Lower-middle,Strong Democrat,Progressive,Consistent Democratic voter,High,Economy / cost of living; Social Security / Medicare; Health care,"Patrick is an older white non-Hispanic male in Ingham County who works as a warehouse shift lead. Patrick is recently retired and thinks most about economy / cost of living, social security / medicare. Politically, Patrick usually votes Democratic and sees national politics as personal to daily life, with a high likelihood of voting in a high-profile Senate race.",1.000000
P081,Carlos,45-64,White non-Hispanic,Male,Macomb County,Detroit suburbs,suburban,College degree,Upper-middle,Independent / swing,Moderate,Obama-Trump voter,High,Health care; Crime / public safety; Foreign policy / Israel-Gaza,"Carlos is a mid-career white non-Hispanic male in Macomb County who works as a suburban school teacher. Carlos owns a modest home and thinks most about health care, crime / public safety. Politically, Carlos does not like either party having too much power and has split tickets before, with a high likelihood of voting in a high-profile Senate race.",1.000000
P082,James,45-64,White non-Hispanic,Male,Oakland County,Detroit suburbs,suburban,High school or less,Upper-middle,Independent / swing,Moderate,Split-ticket voter,Medium,Democracy / rule of law; Economy / cost of living; Abortion,"James is a mid-career white non-Hispanic male in Oakland County who works as a realtor. James owns a modest home and thinks most about democracy / rule of law, economy / cost of living. Politically, James does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P083,Ryan,45-64,White non-Hispanic,Male,Crawford County,Northern Michigan,rural/small-town,High school or less,Low,Lean Republican,Moderate,Usually Republican voter,Medium,Education; Economy / cost of living; Immigration,"Ryan is a mid-career white non-Hispanic male in Crawford County who works as a county road worker. Ryan owns a modest home and thinks most about education, economy / cost of living. Politically, Ryan usually leans Republican but will consider a Democrat who seems focused on Michigan, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P084,Tyler,65+,White non-Hispanic,Male,Macomb County,Detroit suburbs,suburban,Some college,Middle,Strong Republican,Conservative,Usually Republican voter,High,Economy / cost of living; Education; Health care,"Tyler is a older white non-hispanic male in Macomb County who works as a retired postal carrier. Tyler is recently retired and thinks most about economy / cost of living, education. Politically, Tyler usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a high likelihood of voting in a high-profile Senate race.",1.000000
P085,Marcus,45-64,White non-Hispanic,Male,Barry County,Rural / outstate,rural/small-town,High school or less,Middle,Strong Republican,Very conservative,Consistent Republican voter,Medium,Economy / cost of living; Immigration; Labor / unions,"Marcus is a mid-career white non-Hispanic male in Barry County who works as a truck driver. Marcus helps care for an elderly parent and thinks most about economy / cost of living, immigration. Politically, Marcus usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P086,Marcus,65+,White non-Hispanic,Male,Ottawa County,West Michigan,mixed,College degree,Upper-middle,Strong Republican,Very conservative,High-propensity Republican voter,High,Social Security / Medicare; Economy / cost of living; Immigration,"Marcus is an older white non-Hispanic male in Ottawa County who works as a logistics manager. Marcus volunteers through church and thinks most about social security / medicare, economy / cost of living. Politically, Marcus usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a high likelihood of voting in a high-profile Senate race.",1.000000
P087,Angela,45-64,White non-Hispanic,Female,Berrien County,Rural / outstate,rural/small-town,College degree,Lower-middle,Lean Republican,Conservative,Trump-to-Democrat persuadable voter,Medium,Education; Democracy / rule of law; Immigration,"Angela is a mid-career white non-Hispanic female in Berrien County who works as a retired small business owner. Angela helps care for an elderly parent and thinks most about education, democracy / rule of law. Politically, Angela usually leans Republican but will consider a Democrat who seems focused on Michigan, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P088,Angela,45-64,White non-Hispanic,Female,Saginaw County,Flint / Saginaw / Bay,mixed,High school or less,Lower-middle,Independent / swing,Moderate,Suburban moderate,Medium,Economy / cost of living; Democracy / rule of law; Labor / unions,"Angela is a mid-career white non-Hispanic female in Saginaw County who works as a water department technician. Angela helps care for an elderly parent and thinks most about economy / cost of living, democracy / rule of law. Politically, Angela does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P089,Eric,45-64,Black,Male,Wayne County,Detroit / Wayne,urban,Some college,Low,Strong Democrat,Liberal,High-propensity Democratic voter,High,Health care; Economy / cost of living; Democracy / rule of law,"Eric is a mid-career black male in Wayne County who works as a small business owner. Eric volunteers through church and thinks most about health care, economy / cost of living. Politically, Eric usually votes Democratic and sees national politics as personal to daily life, with a high likelihood of voting in a high-profile Senate race.",1.000000
P090,Michelle,30-44,White non-Hispanic,Female,Ottawa County,West Michigan,mixed,College degree,Middle,Independent / swing,Moderate,Suburban moderate,Medium,Abortion; Education; Foreign policy / Israel-Gaza,"Michelle is a middle-aged white non-hispanic female in Ottawa County who works as a church office manager. Michelle coaches a local youth team and thinks most about abortion, education. Politically, Michelle does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P091,Mary,45-64,White non-Hispanic,Female,Tuscola County,Rural / outstate,rural/small-town,High school or less,Middle,Strong Republican,Very conservative,Consistent Republican voter,Medium,Environment / water; Abortion; Health care,"Mary is a mid-career white non-Hispanic female in Tuscola County who works as a postal carrier. Mary works long shifts and follows politics unevenly and thinks most about environment / water, abortion. Politically, Mary usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P092,Thomas,30-44,White non-Hispanic,Male,Dickinson County,Upper Peninsula,rural/small-town,College degree,Middle,Independent / swing,Moderate,Obama-Trump voter,Medium,Social Security / Medicare; Democracy / rule of law; Labor / unions,"Thomas is a middle-aged white non-Hispanic male in Dickinson County who works as a nurse. Thomas coaches a local youth team and thinks most about social security / medicare, democracy / rule of law. Politically, Thomas does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P093,Karen,18-29,White non-Hispanic,Female,Grand Traverse County,Northern Michigan,rural/small-town,Postgraduate,Upper-middle,Independent / swing,Liberal,Obama-Trump voter,Medium,Social Security / Medicare; Abortion; Economy / cost of living,"Karen is a younger white non-Hispanic female in Grand Traverse County who works as a carpenter. Karen has friends split across both parties and thinks most about social security / medicare, abortion. Politically, Karen does not like either party having too much power and has split tickets before, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P094,Mark,45-64,White non-Hispanic,Male,Wayne County,Detroit / Wayne,urban,High school or less,Lower-middle,Lean Democrat,Liberal,Occasional split-ticket Democrat,Medium,Environment / water; Crime / public safety; Abortion,"Mark is a mid-career white non-Hispanic male in Wayne County who works as a public school paraprofessional. Mark volunteers through church and thinks most about environment / water, crime / public safety. Politically, Mark usually leans Democratic but wants candidates to sound practical and grounded, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P095,Sarah,65+,Black,Female,Kalamazoo County,West Michigan,mixed,College degree,Middle,Strong Democrat,Progressive,High-propensity Democratic voter,High,Social Security / Medicare; Abortion; Immigration,"Sarah is an older black female in Kalamazoo County who works as a logistics manager. Sarah is recently retired and thinks most about social security / medicare, abortion. Politically, Sarah usually votes Democratic and sees national politics as personal to daily life, with a high likelihood of voting in a high-profile Senate race.",1.000000
P096,Jennifer,65+,White non-Hispanic,Female,Livingston County,Detroit suburbs,suburban,High school or less,Lower-middle,Lean Republican,Conservative,Usually Republican voter,High,Economy / cost of living; Education; Immigration,"Jennifer is a older white non-hispanic female in Livingston County who works as a postal carrier. Jennifer helps care for a spouse and thinks most about economy / cost of living, education. Politically, Jennifer usually leans Republican but will consider a Democrat who seems focused on Michigan, with a high likelihood of voting in a high-profile Senate race.",1.000000
P097,Nicole,18-29,White non-Hispanic,Female,Monroe County,Rural / outstate,rural/small-town,High school or less,Middle,Strong Republican,Conservative,Consistent Republican voter,Low,Abortion; Environment / water; Foreign policy / Israel-Gaza,"Nicole is a younger white non-Hispanic female in Monroe County who works as a truck driver. Nicole has friends split across both parties and thinks most about abortion, environment / water. Politically, Nicole usually votes Republican and is skeptical of Democrats, especially on spending and cultural issues, with a low likelihood of voting in a high-profile Senate race.",1.000000
P098,Angela,18-29,White non-Hispanic,Female,Oakland County,Detroit suburbs,suburban,Some college,Lower-middle,Lean Republican,Conservative,Usually Republican voter,Medium,Health care; Economy / cost of living; Education,"Angela is a younger white non-hispanic female in Oakland County who works as a farm equipment mechanic. Angela has friends split across both parties and thinks most about health care, economy / cost of living. Politically, Angela usually leans Republican but will consider a Democrat who seems focused on Michigan, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P099,Maria,30-44,White non-Hispanic,Female,Oakland County,Detroit suburbs,suburban,High school or less,Middle,Lean Democrat,Liberal,Usually Democratic voter,Medium,Economy / cost of living; Foreign policy / Israel-Gaza; Abortion,"Maria is a middle-aged white non-Hispanic female in Oakland County who works as an automotive engineer. Maria coaches a local youth team and thinks most about economy / cost of living, foreign policy / israel-gaza. Politically, Maria usually leans Democratic but wants candidates to sound practical and grounded, with a medium likelihood of voting in a high-profile Senate race.",1.000000
P100,James,45-64,White non-Hispanic,Male,Oakland County,Detroit suburbs,suburban,Postgraduate,Upper-middle,Lean Democrat,Liberal,Occasional split-ticket Democrat,High,Economy / cost of living; Social Security / Medicare; Crime / public safety,"James is a mid-career white non-Hispanic male in Oakland County who works as an automotive engineer. James works long shifts and follows politics unevenly and thinks most about economy / cost of living, social security / medicare. Politically, James usually leans Democratic but wants candidates to sound practical and grounded, with a high likelihood of voting in a high-profile Senate race.",1.000000
